n_neighbors,min_dist,n_components,metric,optimal_k,optimal_silhouette
200,0.0,100,minkowski,3,0.34323236
100,0.25,50,chebyshev,2,0.3428729
50,0.25,100,euclidean,3,0.3416458
50,0.25,50,minkowski,3,0.34006825
100,0.25,100,chebyshev,2,0.3387673
50,0.25,5,euclidean,3,0.33865702
50,0.25,10,minkowski,3,0.33828416
50,0.25,20,euclidean,3,0.33734158
50,0.25,100,minkowski,3,0.33630633
50,0.25,10,euclidean,3,0.33591
50,0.25,20,minkowski,3,0.33558887
50,0.25,50,euclidean,3,0.33490625
200,0.25,10,chebyshev,2,0.33341345
200,0.25,50,chebyshev,2,0.3330711
200,0.1,10,minkowski,3,0.33289868
2,0.0,5,minkowski,9,0.33069324
50,0.25,20,chebyshev,2,0.33052716
200,0.1,5,minkowski,3,0.3304838
200,0.1,5,euclidean,3,0.3299075
100,0.25,10,chebyshev,2,0.32861266
200,0.1,20,minkowski,3,0.3273283
100,0.25,5,chebyshev,2,0.32542104
100,0.25,5,minkowski,3,0.3241099
100,0.25,5,euclidean,3,0.32362887
200,0.1,50,euclidean,3,0.32336053
200,0.1,100,minkowski,3,0.32316798
20,0.25,20,euclidean,6,0.32308623
100,0.25,10,minkowski,3,0.32303184
200,0.25,20,manhattan,3,0.322757
100,0.25,20,minkowski,3,0.3224905
200,0.1,50,minkowski,3,0.32191536
200,0.1,20,euclidean,3,0.32171506
100,0.25,100,minkowski,3,0.32169116
200,0.25,100,manhattan,3,0.32167822
200,0.1,100,euclidean,3,0.3215366
200,0.1,10,euclidean,3,0.32149562
100,0.25,100,euclidean,3,0.32137352
100,0.25,20,euclidean,3,0.32125846
100,0.25,50,minkowski,3,0.3207608
200,0.25,10,manhattan,3,0.3206739
200,0.25,5,manhattan,3,0.32038724
100,0.25,50,euclidean,3,0.32036516
100,0.25,10,euclidean,3,0.3173525
200,0.25,50,manhattan,3,0.31709605
2,0.0,10,euclidean,10,0.31561258
2,0.0,5,chebyshev,10,0.3058887
2,0.1,5,manhattan,10,0.30498165
200,0.25,5,euclidean,3,0.30213457
200,0.25,10,euclidean,3,0.30157286
200,0.25,5,minkowski,3,0.3000546
2,0.1,5,euclidean,10,0.29888645
200,0.25,20,euclidean,3,0.29848891
200,0.25,100,euclidean,3,0.29787895
200,0.25,100,minkowski,3,0.2968521
2,0.25,5,manhattan,10,0.2966285
200,0.25,50,minkowski,3,0.2962135
200,0.25,10,minkowski,3,0.29570645
2,0.25,5,chebyshev,10,0.29497135
200,0.25,50,euclidean,3,0.29306918
200,0.25,20,minkowski,3,0.29183736
2,0.25,5,euclidean,8,0.28967398
2,0.0,5,euclidean,10,0.28505632
2,0.0,10,chebyshev,10,0.28427508
2,0.0,10,minkowski,7,0.28368172
2,0.1,5,chebyshev,10,0.275764
2,0.25,5,minkowski,10,0.27449903
2,0.1,10,minkowski,10,0.27145785
200,0.25,5,chebyshev,2,0.26848912
2,0.1,5,minkowski,10,0.26432532
2,0.1,100,chebyshev,2,0.2568054
2,0.0,5,manhattan,6,0.25543836
2,0.1,10,chebyshev,10,0.2529737
2,0.25,10,chebyshev,10,0.24779123
2,0.1,10,euclidean,8,0.24629045
2,0.1,20,minkowski,10,0.24483335
2,0.25,10,euclidean,10,0.2358548
2,0.1,10,manhattan,10,0.23469415
2,0.0,10,manhattan,10,0.23279108
2,0.1,20,euclidean,10,0.22805555
2,0.0,20,minkowski,10,0.22575897
2,0.0,20,euclidean,10,0.22283228
2,0.0,100,manhattan,2,0.22146606
2,0.25,20,minkowski,10,0.21942715
